index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
115,Principal Software Engineer,$106K - $216K (Glassdoor est.),3.8,BP,"Houston, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
116,Software Engineer,$80K - $150K (Employer est.),-1,TrapWire Inc.,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
117,Software Engineer,$100K - $100K (Employer est.),4.1,Selby Jennings,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
118,Software Engineer II or Sr. Software Engineer,$80K - $160K (Employer est.),-1,"GivePulse, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
119,Sr. Software Engineer - Permanent Remote,-1,4.3,Xero,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
120,"Software Engineer I, II, III, or Senior",$51K - $105K (Glassdoor est.),3.8,Alaska USA Federal Credit Union,"Anchorage, AK",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
121,"MTS 2, Software Engineer",$88K - $152K (Glassdoor est.),4.1,PayPal,"Scottsdale, AZ",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
122,Software Developer,$64K - $130K (Glassdoor est.),3.9,"Tyler Technologies, Inc.","Lubbock, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
123,Software Engineer,$85K - $113K (Employer est.),3.5,National Security Agency,"Fort Meade, MD",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
124,Embedded Software Engineer,-1,-1,Facebook App,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
125,PHP Developer,$165K (Employer est.),-1,Revint Solutions,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
126,Principal Software Engineer,$106K - $216K (Glassdoor est.),3.8,BP,"Houston, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
127,Software Engineer,$109K - $159K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
128,Software Engineer,-1,-1,"Aperia Technologies, Inc",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
129,Software Engineer (Mid-Level),$75K - $95K (Employer est.),4.0,"Powur, PBC",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
130,Full Stack Software Engineer (remote),$132K - $192K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
131,Software Engineer I,-1,-1,Confidential,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
132,React Focused Software Engineer,$165K (Employer est.),4.8,Strategic Employment Partners,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
133,Sr. Software Engineer,$110K - $135K (Employer est.),3.6,Les Schwab,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
134,Software Engineer,$80K - $150K (Employer est.),-1,TrapWire Inc.,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
135,Senior Software Engineer,$109K - $159K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
136,Principal Software Engineer,$167K - $243K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
137,Software Developer,$76K - $120K (Glassdoor est.),3.1,Gensco,"Fife, WA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
138,Frontend Staff Software Engineer,$159K - $231K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
139,Software Engineer (JavaScript / Node / AWS) - Remote,$85K - $130K (Employer est.),4.0,Mutual of Omaha,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
140,Lead Web Developer,$105K (Employer est.),3.1,Education Dynamics Llc,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
141,Sr. Software Engineer - Permanent Remote,-1,4.3,Xero,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
142,Software Engineer II,$87 Per Hour(Employer est.),3.4,eQuest for CTG MAIN (Southeast),Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
