index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
140,"AI/ML - ML Applied Scientist, ML Platform & Technology",-1,4.3,Apple,"Seattle, WA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
141,Machine Learning Engineer,$160K - $180K (Employer est.),4.0,Harnham,"Pittsburgh, PA",51 to 200 Employees,2006,Staffing & Outsourcing,Staffing & Outsourcing,$25 to $50 million (USD),Company - Private
142,Deep Learning Engineer,$150K - $160K (Employer est.),4.0,Harnham,"Pittsburgh, PA",51 to 200 Employees,2006,Staffing & Outsourcing,Staffing & Outsourcing,$25 to $50 million (USD),Company - Private
143,Computer Vision Data Scientist,$110K - $130K (Employer est.),4.0,Harnham,"Cincinnati, OH",51 to 200 Employees,2006,Staffing & Outsourcing,Staffing & Outsourcing,$25 to $50 million (USD),Company - Private
144,"Data Scientist, Game Analytics",$75K - $149K (Glassdoor est.),3.6,Niantic,"Culver City, CA",501 to 1000 Employees,2011,Video Games,Video Games,Unknown / Non-Applicable,Company - Private
145,"Data Scientist, Marketing Analytics",-1,3.3,Tinder,Remote,201 to 500 Employees,2012,Internet,Internet,Unknown / Non-Applicable,Company - Public
146,Data Scientist,$115K - $150K (Employer est.),-1,Proton.ai,"Boston, MA",-1,-1,-1,-1,-1,-1
147,"DATA SCIENTIST, PEOPLE ANALYTICS",-1,4.4,DraftKings,Remote,1001 to 5000 Employees,2012,Internet,Internet,Unknown / Non-Applicable,Company - Public
148,"Data Scientist, Analytics (University Grad)",-1,-1,Facebook App,Remote,-1,-1,-1,-1,-1,-1
149,Data Scientist / Machine Learning Engineer (contract),$76K - $126K (Glassdoor est.),4.2,Pfizer,"Collegeville, PA",10000+ Employees,1849,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Company - Public
150,BioInformatician (Data Scientist II),$62K - $128K (Glassdoor est.),3.8,Battelle,"West Jefferson, OH",10000+ Employees,1929,Research & Development,Research & Development,$5 to $10 billion (USD),Nonprofit Organization
151,IT Data Analyst,$57K - $104K (Glassdoor est.),3.7,Amneal Pharmaceuticals,"Bridgewater, NJ",5001 to 10000 Employees,2002,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Company - Public
152,Machine Learning Software Engineer,$66K - $135K (Glassdoor est.),4.0,In-Depth Engineering Corporation,"Columbia, MD",51 to 200 Employees,Government,-1,-1,-1,$10 to $25 million (USD)
